Ticker,Window,Model,Samples,Accuracy,Accuracy_Std,Precision,Recall,Specificity,F-Score,AUC
AAPL,1,Random Forest,1231,0.6475395806589644,0.07461025210150712,0.6921018699073274,0.7024692169025663,0.5312857142857144,0.6887393515635161,0.6783032178546802
AAPL,1,XGBoost,1231,0.6028109673809289,0.05635793660101591,0.6538811208330422,0.7151081804332577,0.43536231884057974,0.672773002100673,0.6211876221125461
AAPL,1,Gradient Boosting,1231,0.5963661498963169,0.08378138524021989,0.6497182545421994,0.6594663266838735,0.48389544513457555,0.6329289445691288,0.6368140476820658
AAPL,1,LightGBM,1231,0.6401764260557586,0.04291764334541993,0.6735183339625486,0.7475783619375823,0.45922256728778466,0.7047315542155347,0.6736543106844007
AAPL,1,CatBoost,1231,0.7246404002501563,0.03291576577149119,0.7598340805218402,0.7718632085221715,0.6342111801242235,0.7638600230692212,0.7469220433391028
AAPL,2,Random Forest,1231,0.6175043612784307,0.0862323467117035,0.6656309917301957,0.6565983551331585,0.5152081219361383,0.6473434057810088,0.6278077330718975
AAPL,2,XGBoost,1231,0.5930812020670814,0.06827847890955163,0.6321299994572758,0.7195157122743787,0.38643781149284395,0.6659124488399956,0.58288167012003
AAPL,2,Gradient Boosting,1231,0.5630756064645667,0.0922868050847831,0.6055879158025148,0.6354229561480791,0.43259640011691386,0.6008223628579051,0.5941264871710683
AAPL,2,LightGBM,1231,0.5955498502353445,0.0755140054317963,0.6393474272564065,0.672563817389389,0.45609931583740515,0.6466824093803492,0.6135804407599338
AAPL,2,CatBoost,1231,0.6791448602745137,0.0323788839013304,0.7142380223845951,0.7421775826430509,0.5548707896598967,0.7243237800291931,0.7090613202454102
AAPL,5,Random Forest,1231,0.5785359270596755,0.09732557647957152,0.6226583873055318,0.6742293411530439,0.3981364860404356,0.6394648215054255,0.5788035326220069
AAPL,5,XGBoost,1231,0.5719857805865508,0.07874863802047068,0.6298085172143334,0.7078371866872791,0.3669672102054654,0.6497592912802089,0.5754900096957585
AAPL,5,Gradient Boosting,1231,0.5866462591751423,0.11023446707204768,0.6282423665659836,0.6904680548838581,0.4080715578100804,0.6392957014751721,0.5817839808986818
AAPL,5,LightGBM,1231,0.5849939106678517,0.09039633742005067,0.6332088860768003,0.6917545900372208,0.3957238668654702,0.6528687625149092,0.5901886385375825
AAPL,5,CatBoost,1231,0.6223725354662453,0.08808933779019047,0.656538522363719,0.7283195473263746,0.4230585280786442,0.6887616986272114,0.6238695713908133
AAPL,10,Random Forest,1231,0.5322405450775156,0.13056002685823023,0.5900725925430883,0.7134806984197607,0.23724451648979952,0.6352112858732185,0.4816327891401503
AAPL,10,XGBoost,1231,0.5119383825417202,0.12598210352549508,0.5694214009821482,0.6621209951230768,0.24650004083966345,0.600537627405844,0.48517923042595956
AAPL,10,Gradient Boosting,1231,0.5354892860669497,0.12392428402242933,0.5886696302103728,0.6683030667321898,0.291022185361808,0.6182418402058427,0.4926880269776256
AAPL,10,LightGBM,1231,0.5135084427767355,0.1007518859647048,0.5856323792942392,0.6528960829458977,0.28149774753548334,0.6047784314673395,0.49249580880805716
AAPL,10,CatBoost,1231,0.556541917645897,0.09076675154417427,0.6120986866431577,0.8046276586528919,0.1828441998253319,0.6817149795483278,0.4803790319943827
AAPL,15,Random Forest,1231,0.5273098318027715,0.10647748070605632,0.6004539534858155,0.714470773411668,0.2600670591028,0.6303370916518434,0.49626627682726526
AAPL,15,XGBoost,1231,0.528935848062934,0.11518942268885907,0.598310075728832,0.7359271299971858,0.22891613382980722,0.6420157543138862,0.47775834635732284
AAPL,15,Gradient Boosting,1231,0.5159836740067806,0.12825624550327938,0.5891509608382672,0.7144406367706011,0.23238822069836956,0.6281574417295192,0.4709447949951205
